date,time,booking_status,vehicle_type,pickup_location,drop_location,avg_vtat,avg_ctat,booking_value,ride_distance,driver_ratings,customer_rating,payment_method,price_per_km,day,month,period,hour,iscompleted
2024-11-15,1900-01-01 05:53:55,Completed,Go Mini,Mundka,Preet Vihar,8.9,41.0,282.0,8.36,3.8,4.4,UPI,33.73205741626794,Friday,11,Morning,5,1
2024-02-04,1900-01-01 18:08:04,Completed,Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,656.0,6.39,5.0,4.9,Uber Wallet,102.660406885759,Sunday,2,Evening,18,1
2024-05-29,1900-01-01 14:05:10,Completed,Auto,Tis Hazari,Shahdara,2.0,19.4,134.0,46.66,3.8,4.4,Credit Card,2.8718388341191603,Wednesday,5,Afternoon,14,1
2024-06-07,1900-01-01 19:21:10,Completed,Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,470.0,27.07,3.7,4.2,Cash,17.36239379386775,Friday,6,Evening,19,1
2024-05-16,1900-01-01 13:04:31,Completed,Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,187.0,12.16,4.9,4.3,UPI,15.37828947368421,Thursday,5,Afternoon,13,1
2024-10-02,1900-01-01 03:10:35,Completed,Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30.0,186.0,10.28,4.4,4.6,UPI,18.09338521400778,Wednesday,10,Night,3,1
2024-02-26,1900-01-01 15:43:16,Completed,eBike,Seelampur,Janakpuri,10.0,35.8,70.0,44.42,4.1,4.4,UPI,1.5758667266996849,Monday,2,Afternoon,15,1
2024-01-24,1900-01-01 10:47:57,Completed,Auto,Vinobapuri,Karkarduma,12.8,18.7,273.0,34.64,4.5,4.6,Uber Wallet,7.881062355658199,Wednesday,1,Morning,10,1
2024-04-01,1900-01-01 21:14:19,Completed,Go Sedan,Sultanpur,Noida Extension,12.2,42.3,251.0,20.91,4.2,3.6,Debit Card,12.003825920612147,Monday,4,Night,21,1
2024-06-16,1900-01-01 00:44:47,Completed,Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,246.0,8.13,4.2,4.5,UPI,30.258302583025827,Sunday,6,Night,0,1
2024-09-18,1900-01-01 09:33:55,Completed,Auto,Aya Nagar,Karkarduma,8.8,25.2,237.0,2.96,3.9,3.3,UPI,80.06756756756756,Wednesday,9,Morning,9,1
2024-06-03,1900-01-01 18:14:47,Completed,Go Mini,MG Road,Hauz Rani,4.1,25.1,379.0,33.04,4.2,4.5,Uber Wallet,11.470944309927361,Monday,6,Evening,18,1
2024-10-03,1900-01-01 22:20:34,Completed,Go Mini,Jasola,Palam Vihar,11.2,40.7,545.0,44.7,4.3,4.3,Cash,12.192393736017896,Thursday,10,Night,22,1
2024-05-25,1900-01-01 11:24:29,Completed,Go Mini,Kashmere Gate,RK Puram,3.0,35.4,479.0,7.38,4.2,4.6,UPI,64.90514905149051,Saturday,5,Morning,11,1
2024-11-10,1900-01-01 05:13:57,Completed,Go Mini,Punjabi Bagh,Madipur,9.1,23.2,647.0,24.93,4.3,4.7,Uber Wallet,25.952667468912956,Sunday,11,Morning,5,1
2024-06-01,1900-01-01 10:03:27,Completed,Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,125.0,25.16,4.3,5.0,Credit Card,4.968203497615263,Saturday,6,Morning,10,1
2024-07-30,1900-01-01 12:02:26,Completed,Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,375.0,48.85,3.3,3.3,Cash,7.676560900716479,Tuesday,7,Afternoon,12,1
2024-02-25,1900-01-01 16:23:19,Completed,Auto,Cyber Hub,Yamuna Bank,11.7,33.0,310.0,24.41,4.6,3.8,Debit Card,12.699713232281852,Sunday,2,Afternoon,16,1
2024-01-25,1900-01-01 12:39:21,Completed,eBike,Vidhan Sabha,Mehrauli,12.1,18.1,291.0,3.71,3.2,4.3,UPI,78.4366576819407,Thursday,1,Afternoon,12,1
2024-04-11,1900-01-01 11:14:35,Completed,Auto,Anand Vihar,Saket,5.8,24.3,114.0,32.98,4.3,4.5,Uber Wallet,3.4566403881140086,Thursday,4,Morning,11,1
2024-06-17,1900-01-01 20:25:47,Completed,Go Mini,Uttam Nagar,New Delhi Railway Station,4.0,44.5,464.0,11.2,4.5,4.2,Cash,41.42857142857143,Monday,6,Evening,20,1
2024-07-29,1900-01-01 19:52:48,Completed,Go Sedan,Model Town,Mundka,3.4,27.1,160.0,45.4,4.0,5.0,Cash,3.524229074889868,Monday,7,Evening,19,1
2024-12-21,1900-01-01 21:40:00,Completed,eBike,Ghitorni,Pitampura,9.9,38.5,206.0,28.78,4.1,3.7,Cash,7.157748436414177,Saturday,12,Night,21,1
2024-05-05,1900-01-01 21:22:39,Completed,Bike,Okhla,Netaji Subhash Place,8.1,37.3,633.0,17.34,4.5,4.9,Credit Card,36.50519031141869,Sunday,5,Night,21,1
2024-11-08,1900-01-01 17:01:10,Completed,Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,717.0,9.38,4.2,4.5,UPI,76.43923240938166,Friday,11,Evening,17,1
2024-12-26,1900-01-01 21:21:55,Completed,Go Sedan,Rajiv Nagar,Ramesh Nagar,6.0,26.7,151.0,11.9,4.9,4.5,UPI,12.6890756302521,Thursday,12,Night,21,1
2024-09-05,1900-01-01 07:44:18,Completed,Premier Sedan,Sohna Road,New Delhi Railway Station,5.0,34.7,512.0,35.66,3.7,4.9,UPI,14.357823892316322,Thursday,9,Morning,7,1
2024-02-10,1900-01-01 09:17:39,Completed,Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,1390.0,21.79,5.0,4.9,UPI,63.790729692519506,Saturday,2,Morning,9,1
2024-07-01,1900-01-01 17:39:56,Completed,Bike,Moolchand,Karol Bagh,3.9,23.0,224.0,7.86,4.1,4.2,Cash,28.498727735368956,Monday,7,Evening,17,1
2024-10-19,1900-01-01 16:24:50,Completed,Auto,Uttam Nagar,Vaishali,8.4,31.3,708.0,18.04,4.6,4.8,UPI,39.246119733924616,Saturday,10,Afternoon,16,1
2024-02-09,1900-01-01 10:51:01,Completed,Auto,INA Market,IFFCO Chowk,7.7,43.7,153.0,15.18,4.2,3.6,Uber Wallet,10.079051383399209,Friday,2,Morning,10,1
2024-12-11,1900-01-01 17:05:36,Completed,Bike,IIT Delhi,Mansarovar Park,5.0,35.0,72.0,13.38,4.7,4.2,Cash,5.381165919282511,Wednesday,12,Evening,17,1
2024-07-10,1900-01-01 02:23:12,Completed,Premier Sedan,Munirka,Saidulajab,10.9,43.6,696.0,30.9,4.7,3.7,UPI,22.524271844660195,Wednesday,7,Night,2,1
2024-09-30,1900-01-01 12:34:51,Completed,Auto,IGNOU Road,Tis Hazari,8.6,32.7,2169.0,44.25,4.4,4.3,Uber Wallet,49.016949152542374,Monday,9,Afternoon,12,1
2024-09-20,1900-01-01 13:09:16,Completed,eBike,Meerut,Udyog Bhawan,9.5,24.6,136.0,45.46,3.2,3.8,Uber Wallet,2.9916410030796303,Friday,9,Afternoon,13,1
2024-04-30,1900-01-01 20:25:28,Completed,Go Mini,Punjabi Bagh,Saket A Block,4.6,38.9,214.0,2.91,4.1,4.7,UPI,73.53951890034364,Tuesday,4,Evening,20,1
2024-06-04,1900-01-01 20:38:07,Completed,Go Mini,Akshardham,Mayur Vihar,10.3,16.4,835.0,37.57,4.2,4.8,UPI,22.22517966462603,Tuesday,6,Evening,20,1
2024-08-11,1900-01-01 18:21:32,Completed,Go Sedan,IMT Manesar,Ashram,2.6,36.2,705.0,40.18,3.9,4.8,UPI,17.54604280736685,Sunday,8,Evening,18,1
2024-10-08,1900-01-01 08:52:57,Completed,Go Sedan,Azadpur,Khan Market,2.1,35.5,480.0,20.22,4.3,4.8,Debit Card,23.738872403560833,Tuesday,10,Morning,8,1
2024-06-24,1900-01-01 18:04:39,Completed,Go Mini,Cyber Hub,Old Gurgaon,7.5,41.7,707.0,44.76,4.8,4.4,UPI,15.795352993744416,Monday,6,Evening,18,1
2024-09-27,1900-01-01 20:16:53,Completed,eBike,Sikanderpur,Greater Noida,10.0,38.0,865.0,43.34,3.2,3.8,Cash,19.958467928011075,Friday,9,Evening,20,1
2024-04-26,1900-01-01 15:45:51,Completed,Bike,Mayur Vihar,IGNOU Road,10.8,40.0,768.0,5.97,4.3,4.8,Cash,128.64321608040203,Friday,4,Afternoon,15,1
2024-05-19,1900-01-01 18:47:16,Completed,Bike,Rohini West,Yamuna Bank,7.0,37.0,626.0,27.96,3.9,4.3,Uber Wallet,22.38912732474964,Sunday,5,Evening,18,1
2024-06-05,1900-01-01 11:16:12,Completed,Go Mini,Mandi House,Bahadurgarh,9.2,40.4,443.0,21.19,4.2,5.0,UPI,20.906087777253422,Wednesday,6,Morning,11,1
2024-04-19,1900-01-01 14:14:27,Completed,Go Sedan,Aya Nagar,Chandni Chowk,9.9,28.7,226.0,47.63,3.6,4.1,UPI,4.7449086710056685,Friday,4,Afternoon,14,1
2024-03-31,1900-01-01 16:34:57,Completed,Auto,Shastri Nagar,Saket A Block,12.8,30.6,449.0,24.4,3.3,4.1,UPI,18.401639344262296,Sunday,3,Afternoon,16,1
2024-03-26,1900-01-01 19:13:05,Completed,Go Mini,Vinobapuri,Shastri Park,5.9,21.1,778.0,7.49,4.3,4.9,UPI,103.87182910547396,Tuesday,3,Evening,19,1
2024-06-10,1900-01-01 15:24:51,Completed,Bike,Rohini West,Yamuna Bank,14.7,18.8,361.0,24.44,4.3,4.8,UPI,14.770867430441898,Monday,6,Afternoon,15,1
2024-08-16,1900-01-01 17:05:19,Completed,Auto,Kashmere Gate ISBT,New Colony,3.5,30.4,235.0,9.2,4.3,3.9,UPI,25.543478260869566,Friday,8,Evening,17,1
2024-02-04,1900-01-01 15:32:16,Completed,Go Sedan,Rohini,Botanical Garden,8.6,15.9,186.0,28.09,4.2,4.4,Cash,6.621573513705945,Sunday,2,Afternoon,15,1
2024-05-26,1900-01-01 22:36:05,Completed,Bike,Faridabad Sector 15,Vinobapuri,7.7,25.0,86.0,40.1,3.6,4.4,Cash,2.144638403990025,Sunday,5,Night,22,1
2024-12-26,1900-01-01 16:16:56,Completed,Premier Sedan,Malviya Nagar,Chanakyapuri,8.3,43.7,234.0,42.5,3.7,4.9,Cash,5.5058823529411764,Thursday,12,Afternoon,16,1
2024-11-30,1900-01-01 18:36:50,Completed,Go Sedan,Vaishali,Tilak Nagar,6.0,44.4,758.0,41.42,4.9,3.6,Cash,18.300338000965716,Saturday,11,Evening,18,1
2024-04-16,1900-01-01 19:41:40,Completed,Auto,Maidan Garhi,Panchsheel Park,12.5,26.3,273.0,31.69,4.4,4.8,UPI,8.61470495424424,Tuesday,4,Evening,19,1
2024-09-12,1900-01-01 05:52:14,Completed,Auto,Yamuna Bank,Nirman Vihar,11.1,19.6,117.0,33.74,4.5,3.7,Debit Card,3.467694131594546,Thursday,9,Morning,5,1
2024-06-07,1900-01-01 18:08:10,Completed,Go Sedan,Khan Market,Central Secretariat,13.3,15.8,955.0,36.82,3.7,3.7,UPI,25.936990765888105,Friday,6,Evening,18,1
2024-06-01,1900-01-01 15:55:36,Completed,Go Sedan,Pragati Maidan,Jama Masjid,9.7,31.5,139.0,38.75,4.4,4.3,UPI,3.587096774193548,Saturday,6,Afternoon,15,1
2024-05-05,1900-01-01 14:17:24,Completed,Go Mini,Mansarovar Park,Rohini,13.3,30.7,255.0,17.07,4.3,4.4,Cash,14.938488576449911,Sunday,5,Afternoon,14,1
2024-01-15,1900-01-01 17:05:26,Completed,Auto,Rithala,Aya Nagar,9.5,18.0,1212.0,19.18,4.3,4.3,UPI,63.190823774765384,Monday,1,Evening,17,1
2024-07-08,1900-01-01 17:50:10,Completed,Go Sedan,Shastri Park,Indraprastha,10.0,23.6,81.0,23.93,4.7,3.9,Debit Card,3.384872544922691,Monday,7,Evening,17,1
2024-08-14,1900-01-01 17:41:00,Completed,Auto,Cyber Hub,Udyog Bhawan,3.6,24.2,940.0,29.09,4.2,4.6,UPI,32.31350979718116,Wednesday,8,Evening,17,1
2024-05-08,1900-01-01 16:37:21,Completed,eBike,Saidulajab,Hauz Khas,10.0,17.9,98.0,27.55,4.2,4.1,Cash,3.557168784029038,Wednesday,5,Afternoon,16,1
2024-07-29,1900-01-01 12:28:32,Completed,Premier Sedan,Tughlakabad,Meerut,5.9,15.5,724.0,14.0,4.1,4.2,Cash,51.714285714285715,Monday,7,Afternoon,12,1
2024-08-09,1900-01-01 16:41:35,Completed,eBike,Kashmere Gate,Karkarduma,8.0,25.3,749.0,47.3,4.4,4.3,UPI,15.83509513742072,Friday,8,Afternoon,16,1
2024-10-02,1900-01-01 09:10:13,Completed,Auto,Shastri Park,Barakhamba Road,11.5,37.4,244.0,14.59,4.1,4.8,UPI,16.72378341329678,Wednesday,10,Morning,9,1
2024-05-26,1900-01-01 20:45:58,Completed,Auto,Tilak Nagar,Azadpur,5.4,28.9,585.0,34.14,4.6,4.1,Debit Card,17.135325131810195,Sunday,5,Evening,20,1
2024-12-24,1900-01-01 10:30:20,Completed,Auto,DLF Phase 3,Udyog Vihar Phase 4,6.4,44.7,554.0,31.79,4.3,4.6,Cash,17.4268637936458,Tuesday,12,Morning,10,1
2024-06-07,1900-01-01 17:11:59,Completed,Bike,Laxmi Nagar,Sohna Road,10.8,28.5,803.0,25.01,4.1,4.5,Credit Card,32.10715713714514,Friday,6,Evening,17,1
2024-04-28,1900-01-01 19:59:01,Completed,Go Mini,Huda City Centre,Akshardham,9.4,24.8,388.0,17.56,4.2,4.7,UPI,22.095671981776768,Sunday,4,Evening,19,1
2024-01-18,1900-01-01 23:04:30,Completed,Go Mini,Uttam Nagar,Greater Kailash,11.2,38.5,192.0,48.96,3.1,4.6,UPI,3.9215686274509802,Thursday,1,Night,23,1
2024-04-15,1900-01-01 19:03:28,Completed,Go Mini,Mehrauli,Nawada,9.0,39.1,79.0,32.91,4.4,3.8,Uber Wallet,2.4004861744150716,Monday,4,Evening,19,1
2024-01-22,1900-01-01 18:23:40,Completed,Bike,Lajpat Nagar,Okhla,2.4,26.6,242.0,45.7,4.0,4.9,UPI,5.295404814004376,Monday,1,Evening,18,1
2024-05-21,1900-01-01 20:31:57,Completed,Go Mini,Botanical Garden,Azadpur,5.4,32.6,323.0,38.32,4.4,3.7,Uber Wallet,8.42901878914405,Tuesday,5,Evening,20,1
2024-06-02,1900-01-01 21:27:23,Completed,Auto,Karol Bagh,Palam Vihar,5.4,24.4,799.0,9.1,4.2,4.6,UPI,87.80219780219781,Sunday,6,Night,21,1
2024-11-20,1900-01-01 16:42:58,Completed,Premier Sedan,Ramesh Nagar,Greater Kailash,2.9,39.3,134.0,49.26,4.1,4.9,UPI,2.720259845716606,Wednesday,11,Afternoon,16,1
2024-11-13,1900-01-01 06:51:43,Completed,Go Sedan,Nirman Vihar,Satguru Ram Singh Marg,13.7,40.7,113.0,8.21,4.3,5.0,UPI,13.763702801461632,Wednesday,11,Morning,6,1
2024-05-16,1900-01-01 12:35:33,Completed,Auto,Tughlakabad,Ramesh Nagar,12.1,32.5,81.0,11.94,4.0,4.5,UPI,6.78391959798995,Thursday,5,Afternoon,12,1
2024-02-15,1900-01-01 19:11:02,Completed,Go Sedan,India Gate,Kashmere Gate,4.5,43.1,992.0,8.23,5.0,4.6,UPI,120.53462940461725,Thursday,2,Evening,19,1
2024-08-01,1900-01-01 06:16:08,Completed,Premier Sedan,Maidan Garhi,Samaypur Badli,3.6,26.5,513.0,49.5,4.3,4.9,UPI,10.363636363636363,Thursday,8,Morning,6,1
2024-05-02,1900-01-01 19:16:35,Completed,Premier Sedan,Barakhamba Road,Noida Film City,5.8,38.9,635.0,37.37,4.3,4.6,UPI,16.992239764516995,Thursday,5,Evening,19,1
2024-08-27,1900-01-01 06:04:30,Completed,Uber XL,Kashmere Gate,Jor Bagh,6.9,17.0,242.0,35.38,4.4,4.9,UPI,6.840022611644996,Tuesday,8,Morning,6,1
2024-10-20,1900-01-01 12:47:05,Completed,Bike,Barakhamba Road,DLF City Court,12.5,20.6,1114.0,34.81,4.1,4.2,Uber Wallet,32.00229819017523,Sunday,10,Afternoon,12,1
2024-06-25,1900-01-01 23:08:22,Completed,Bike,Gurgaon Sector 56,Cyber Hub,9.0,37.7,372.0,20.92,3.8,4.6,UPI,17.782026768642446,Tuesday,6,Night,23,1
2024-07-10,1900-01-01 16:51:38,Completed,Go Mini,Ashram,Yamuna Bank,3.5,40.2,387.0,23.39,4.3,4.7,Uber Wallet,16.545532278751605,Wednesday,7,Afternoon,16,1
2024-06-10,1900-01-01 07:38:34,Completed,Go Sedan,Gurgaon Sector 29,Mansarovar Park,7.1,31.6,767.0,30.82,4.6,4.9,UPI,24.886437378325763,Monday,6,Morning,7,1
2024-07-11,1900-01-01 14:42:27,Completed,Auto,Shahdara,Paharganj,7.1,24.4,447.0,21.31,4.5,4.1,UPI,20.976067573908963,Thursday,7,Afternoon,14,1
2024-06-20,1900-01-01 07:14:32,Completed,Premier Sedan,Sultanpur,Delhi Gate,6.7,33.5,500.0,20.41,4.3,4.7,Credit Card,24.49779519843214,Thursday,6,Morning,7,1
2024-03-05,1900-01-01 12:21:00,Completed,Go Mini,Gurgaon Sector 29,Dilshad Garden,3.7,38.9,446.0,25.94,4.9,4.3,Debit Card,17.193523515805705,Tuesday,3,Afternoon,12,1
2024-05-17,1900-01-01 01:08:21,Completed,eBike,Huda City Centre,Aya Nagar,2.6,32.9,125.0,39.16,4.1,4.9,UPI,3.1920326864147093,Friday,5,Night,1,1
2024-05-13,1900-01-01 21:08:35,Completed,Go Sedan,Dilshad Garden,Subhash Nagar,11.4,17.2,419.0,23.79,4.3,4.7,Uber Wallet,17.612442202606136,Monday,5,Night,21,1
2024-06-19,1900-01-01 22:02:03,Completed,Go Sedan,Basai Dhankot,Qutub Minar,4.7,17.7,477.0,41.93,4.6,4.9,Cash,11.376103028857619,Wednesday,6,Night,22,1
2024-04-26,1900-01-01 21:03:12,Completed,Auto,Anand Vihar,IMT Manesar,11.3,33.0,352.0,6.71,4.2,4.7,UPI,52.459016393442624,Friday,4,Night,21,1
2024-12-04,1900-01-01 14:09:18,Completed,Go Sedan,Munirka,Sushant Lok,7.4,39.0,117.0,15.63,4.6,4.5,UPI,7.485604606525912,Wednesday,12,Afternoon,14,1
2024-12-12,1900-01-01 12:01:07,Completed,Go Sedan,Tis Hazari,Arjangarh,9.3,28.5,51.0,29.8,4.6,3.9,UPI,1.7114093959731542,Thursday,12,Afternoon,12,1
2024-03-02,1900-01-01 22:28:52,Completed,Uber XL,Malviya Nagar,Sohna Road,6.0,26.6,81.0,5.59,4.9,4.2,Cash,14.490161001788909,Saturday,3,Night,22,1
2024-08-29,1900-01-01 21:01:54,Completed,Bike,Munirka,Tis Hazari,13.5,41.8,51.0,4.44,4.4,4.7,Uber Wallet,11.486486486486486,Thursday,8,Night,21,1
2024-03-25,1900-01-01 18:40:11,Completed,Go Sedan,Akshardham,IGNOU Road,4.9,33.0,469.0,26.93,4.3,4.9,UPI,17.415521722985517,Monday,3,Evening,18,1
2024-06-30,1900-01-01 21:34:48,Completed,Bike,Udyog Vihar Phase 4,Greater Kailash,9.9,22.0,320.0,28.78,4.2,4.5,UPI,11.118832522585128,Sunday,6,Night,21,1
2024-07-18,1900-01-01 02:41:57,Completed,Go Mini,Raj Nagar Extension,IMT Manesar,13.3,24.6,726.0,12.98,4.2,4.3,Debit Card,55.932203389830505,Thursday,7,Night,2,1
2024-09-15,1900-01-01 20:23:02,Completed,Go Sedan,Nawada,New Delhi Railway Station,8.8,16.8,455.0,43.06,3.8,4.3,UPI,10.56665118439387,Sunday,9,Evening,20,1
2024-05-12,1900-01-01 10:16:09,Completed,Auto,Lajpat Nagar,Shivaji Park,2.6,22.2,995.0,38.96,4.7,4.9,Debit Card,25.539014373716633,Sunday,5,Morning,10,1
2024-11-16,1900-01-01 19:05:30,Completed,Uber XL,Aya Nagar,Meerut,2.7,25.8,1179.0,18.87,4.9,4.6,Uber Wallet,62.48012718600953,Saturday,11,Evening,19,1
2024-07-19,1900-01-01 16:57:27,Completed,Bike,Lok Kalyan Marg,Maidan Garhi,11.0,33.1,525.0,47.88,4.2,4.6,Uber Wallet,10.964912280701753,Friday,7,Afternoon,16,1
2024-09-15,1900-01-01 22:06:40,Completed,Go Sedan,Ramesh Nagar,Keshav Puram,5.1,27.9,300.0,5.7,4.2,4.6,UPI,52.63157894736842,Sunday,9,Night,22,1
2024-05-30,1900-01-01 18:57:34,Completed,Go Sedan,Maidan Garhi,Sarai Kale Khan,11.1,18.4,202.0,4.62,3.2,4.1,UPI,43.722943722943725,Thursday,5,Evening,18,1
2024-12-05,1900-01-01 07:56:34,Completed,Premier Sedan,Greater Kailash,Green Park,6.3,34.1,475.0,42.26,4.3,4.2,Cash,11.239943208707999,Thursday,12,Morning,7,1
2024-07-16,1900-01-01 19:23:06,Completed,Go Sedan,Sarojini Nagar,Saidulajab,6.1,17.0,833.0,19.49,4.0,3.4,Debit Card,42.73986659825552,Tuesday,7,Evening,19,1
2024-01-06,1900-01-01 20:53:36,Completed,Go Mini,Palam Vihar,Shahdara,7.3,33.1,158.0,40.36,3.7,4.9,UPI,3.914767096134787,Saturday,1,Evening,20,1
2024-02-28,1900-01-01 03:21:43,Completed,Bike,GTB Nagar,Palam Vihar,10.0,36.9,155.0,42.59,4.7,3.2,Cash,3.6393519605541202,Wednesday,2,Night,3,1
2024-03-31,1900-01-01 08:32:26,Completed,Auto,Cyber Hub,Mundka,10.5,33.9,107.0,21.68,4.3,4.9,UPI,4.935424354243542,Sunday,3,Morning,8,1
2024-04-04,1900-01-01 16:33:57,Completed,Go Mini,Adarsh Nagar,Rohini West,6.8,22.4,151.0,29.9,4.6,4.6,UPI,5.050167224080268,Thursday,4,Afternoon,16,1
2024-05-07,1900-01-01 21:10:50,Completed,Go Mini,Golf Course Road,Bhikaji Cama Place,10.7,30.4,187.0,42.27,4.3,4.8,Cash,4.423941329548143,Tuesday,5,Night,21,1
2024-06-15,1900-01-01 19:12:37,Completed,Go Mini,IIT Delhi,Basai Dhankot,12.3,34.6,1543.0,49.71,4.4,5.0,Cash,31.040032186682758,Saturday,6,Evening,19,1
2024-06-14,1900-01-01 20:58:12,Completed,eBike,Punjabi Bagh,Gurgaon Sector 56,3.8,20.2,432.0,32.56,4.2,5.0,UPI,13.267813267813267,Friday,6,Evening,20,1
2024-10-28,1900-01-01 15:46:27,Completed,Go Mini,Ghaziabad,Udyog Vihar,3.2,30.8,54.0,31.49,4.6,4.9,Cash,1.714830104795173,Monday,10,Afternoon,15,1
2024-02-06,1900-01-01 10:17:43,Completed,Auto,Narsinghpur,Maidan Garhi,13.4,20.0,939.0,21.28,3.8,5.0,UPI,44.12593984962406,Tuesday,2,Morning,10,1
2024-12-04,1900-01-01 07:48:07,Completed,Auto,MG Road,GTB Nagar,9.8,43.4,829.0,34.14,4.6,4.2,UPI,24.282366725248973,Wednesday,12,Morning,7,1
2024-12-22,1900-01-01 17:53:25,Completed,Auto,Panchsheel Park,Gwal Pahari,8.7,27.2,314.0,20.66,4.6,4.3,UPI,15.198451113262342,Sunday,12,Evening,17,1
2024-08-24,1900-01-01 21:09:54,Completed,Go Sedan,Badarpur,Tis Hazari,11.7,30.5,1249.0,24.6,4.1,3.7,Cash,50.77235772357723,Saturday,8,Night,21,1
2024-09-18,1900-01-01 08:48:36,Completed,Auto,Gurgaon Sector 29,South Extension,4.5,27.4,437.0,27.94,3.9,4.6,UPI,15.64065855404438,Wednesday,9,Morning,8,1
2024-10-22,1900-01-01 08:41:41,Completed,Go Mini,Dwarka Sector 21,Moolchand,9.6,28.1,83.0,44.57,4.6,4.5,UPI,1.8622391743325106,Tuesday,10,Morning,8,1
2024-06-16,1900-01-01 06:53:10,Completed,Auto,Greater Kailash,Raj Nagar Extension,14.2,15.7,1444.0,15.43,4.2,3.1,Cash,93.58392741412833,Sunday,6,Morning,6,1
2024-09-07,1900-01-01 04:07:03,Completed,Bike,Gwal Pahari,Golf Course Road,5.8,31.4,1368.0,42.88,4.3,3.8,Cash,31.902985074626862,Saturday,9,Night,4,1
